04.03.2024	12:54:44	21.4	21.4	23.5	23.2
04.03.2024	12:55:44	21.4	22.3	23.4	22.9
04.03.2024	12:56:44	20.7	23.6	23.8	22.8
04.03.2024	12:57:44	19.5	25.0	23.8	22.8
04.03.2024	12:58:44	18.3	26.4	23.8	23.0
04.03.2024	12:59:44	17.3	27.6	23.8	23.5
04.03.2024	13:00:44	16.1	28.9	23.7	24.0
04.03.2024	13:01:44	15.2	30.3	23.7	24.8
04.03.2024	13:02:44	14.0	31.5	23.8	25.5
04.03.2024	13:03:44	13.1	32.6	23.9	26.2
04.03.2024	13:04:44	12.1	33.6	23.9	26.9
04.03.2024	13:05:44	11.3	34.7	23.8	27.8
04.03.2024	13:06:43	10.5	35.6	23.9	28.5
04.03.2024	13:07:43	9.5	36.5	24.0	29.2
04.03.2024	13:08:43	8.8	37.4	23.8	30.2
04.03.2024	13:09:43	8.4	38.3	24.0	30.9
04.03.2024	13:10:43	7.5	39.1	24.2	31.6
04.03.2024	13:11:43	7.0	39.9	24.3	32.4
04.03.2024	13:12:43	6.2	40.5	24.3	33.1
04.03.2024	13:13:43	5.7	41.2	25.1	34.0
04.03.2024	13:14:43	5.3	41.9	24.8	34.5
04.03.2024	13:15:43	4.8	42.5	24.7	35.1
04.03.2024	13:16:43	4.2	43.1	24.7	35.9
04.03.2024	13:17:43	3.7	43.6	24.4	37.0
04.03.2024	13:18:43	3.3	44.2	24.4	38.0
